Iteration; Energy; Damage
399;63.050.560; 0.000000
400;62.950.562; 0.000000
401;62.850.563; 0.000000
402;62.750.565; 0.000000
403;62.650.566; 0.000000
404;62.550.568; 0.000000
405;62.450.569; 0.000000
406;62.350.571; 0.000000
407;62.250.572; 0.000000
408;62.150.574; 0.000000
409;62.050.575; 0.000000
410;61.950.577; 0.000000
411;61.850.578; 0.000000
412;61.750.580; 0.000000
413;61.650.581; 0.000000
414;61.550.583; 0.000000
415;61.450.584; 0.000000
416;61.350.586; 0.000000
417;61.250.587; 0.000000
418;61.150.589; 0.000000
419;61.050.591; 0.000000
420;60.950.592; 0.000000
421;60.850.594; 0.000000
422;60.750.595; 0.000000
423;60.650.597; 0.000000
424;60.550.598; 0.000000
425;60.450.600; 0.000000
426;60.350.601; 0.000000
427;60.250.603; 0.000000
428;60.150.604; 0.000000
429;60.050.606; 0.000000
430;59.950.607; 0.000000
431;59.850.609; 0.000000
432;59.750.610; 0.000000
433;59.650.612; 0.000000
434;59.550.613; 0.000000
435;59.450.615; 0.000000
436;59.350.616; 0.000000
437;59.250.618; 0.000000
438;59.150.620; 0.000000
439;59.050.621; 0.000000
440;58.950.623; 0.000000
441;58.850.624; 0.000000
442;58.750.626; 0.000000
443;58.650.627; 0.000000
444;58.550.629; 0.000000
445;58.450.630; 0.000000
446;58.350.632; 0.000000
447;58.250.633; 0.000000
448;58.150.635; 0.000000
449;58.050.636; 0.000000
450;57.950.638; 0.000000
451;57.850.639; 0.000000
452;57.750.641; 0.000000
453;57.650.642; 0.000000
454;57.550.644; 0.000000
455;57.450.645; 0.000000
456;57.350.647; 0.000000
457;57.250.648; 0.000000
458;57.150.650; 0.000000
459;57.050.652; 0.000000
460;56.950.653; 0.000000
461;56.850.655; 0.000000
462;56.750.656; 0.000000
463;56.650.658; 0.000000
464;56.550.659; 0.000000
465;56.450.661; 0.000000
466;56.350.662; 0.000000
467;56.250.664; 0.000000
468;56.150.665; 0.000000
469;56.050.667; 0.000000
470;55.950.668; 0.000000
471;55.850.670; 0.000000
472;55.750.671; 0.000000
473;55.650.673; 0.000000
474;55.550.674; 0.000000
475;55.450.676; 0.000000
476;55.350.677; 0.000000
477;55.250.679; 0.000000
478;55.150.681; 0.000000
479;55.050.682; 0.000000
480;54.950.684; 0.000000
481;54.850.685; 0.000000
482;54.750.687; 0.000000
483;54.650.688; 0.000000
484;54.550.690; 0.000000
485;54.450.691; 0.000000
486;54.350.693; 0.000000
487;54.250.694; 0.000000
488;54.150.696; 0.000000
489;54.050.697; 0.000000
490;53.950.699; 0.000000
491;53.850.700; 0.000000
492;53.750.702; 0.000000
